Words,Avg Guesses,Failures
trice,4.09272964736613,195
trick,4.18545929473226,192
tried,4.1149325206791465,220
tries,4.151284283848498,239
trike,4.17022202873313,215
trill,4.3027862429255554,255
trims,4.143230300391815,210
trios,4.172834131475838,256
tripe,4.0774923813670005,177
trips,4.116891597736178,198
trite,4.281454070526774,253
troll,4.298650413582934,242
tromp,4.091423595994776,140
troop,4.2516325642141926,207
trope,4.067696996081846,175
troth,4.300609490639965,236
trots,4.295602960383109,256
trout,4.352633870265564,284
troys,4.216151501959077,239
truce,4.128428384849804,210
truck,4.237483674357858,213
trued,4.17239878101872,245
truer,4.324553765781454,269
trues,4.18741837178929,254
truly,4.235306922072268,229
trump,4.134087940792337,144
trunk,4.25446234218546,242
truss,4.374619068350022,294
trust,4.393339138006095,304
truth,4.34915106660862,241
tryst,4.448628646060079,301
tsars,4.346321288637353,284
tubas,4.237265999129299,235
tubby,4.50217675228559,293
tubed,4.227252938615585,244
tuber,4.166521549847627,186
tubes,4.282760121898128,289
tucks,4.329560296038311,272
tufts,4.469743143230301,316
tulip,4.176969960818459,209
tulle,4.347191989551589,273
tumid,4.230082716586852,241
tummy,4.4677840661732695,286
tumor,4.190901175446235,217
tunas,4.217457553330431,258
tuned,4.2022202873313015,242
tuner,4.142577274706138,228
tunes,4.237483674357858,289
tunic,4.246190683500218,255
tunny,4.464301262516326,321
turds,4.1852416195037,221
turfs,4.225729212015673,230
turns,4.183717892903788,248
tusks,4.4860687853722245,327
tutor,4.380713974749673,295
tutus,4.620156726164563,387
tuxes,4.4262080975185025,343
twain,4.19612538093165,209
twang,4.208750544188072,179
tweak,4.30605137135394,236
tweed,4.388550282977797,262
tweet,4.565955594253374,320
twerk,4.24140182847192,195
twerp,4.131258162821071,148
twice,4.241184153243361,227
twigs,4.306922072268176,264
twill,4.370265563778842,248
twine,4.208315193730954,220
twins,4.253591641271223,251
twirl,4.181758815846757,190
twist,4.457988680888115,308
twits,4.452111449717022,309
tying,4.299303439268611,258
tykes,4.3759251197213755,305
typed,4.239007400957771,216
types,4.28885502829778,262
typos,4.251197213757075,228
tyros,4.244013931214628,258
tzars,4.3119286025250325,265
udder,4.409664780148019,298
ulcer,4.232477144101002,256
ulnae,4.228994340444057,281
ulnas,4.249673487157161,272
ultra,4.204397039616891,237
umbel,4.2474967348715715,209
umber,4.269917283413148,232
umiak,4.377884196778407,273
umped,4.26730518067044,238
unbar,4.221375707444492,208
uncle,4.220722681758816,251
uncut,4.3763604701784935,245
under,4.221375707444492,256
undid,4.48715716151502,353
undue,4.438397910317806,313
unfit,4.2712233347845014,250
unify,4.405528950805398,307
union,4.5404875925119725,382
unite,4.260992599042229,280
units,4.283413147583805,304
unity,4.328036569438398,295
unman,4.4906399651719635,318
unpin,4.442098389203308,298
unsay,4.343709185894645,297
unset,4.2799303439268614,290
untie,4.264040052242055,274
until,4.247279059643013,254
unwed,4.2853722246408354,246
unzip,4.410317805833696,277
upend,4.244231606443186,251
upped,4.451893774488463,324
upper,4.424031345232913,307
upset,4.268393556813234,261
urban,4.217022202873313,206
urged,4.258162821070962,280
urges,4.308445798868089,301
urine,4.254680017414018,276
usage,4.368959512407488,320
users,4.488680888114932,349
usher,4.364388332607749,293
using,4.415759686547671,327
usual,4.448193295602961,323
usurp,4.468437091858947,318
usury,4.57966913365259,393
uteri,4.268611232041794,269
utter,4.358946451893774,278
uvula,4.597300827165869,360
vacua,4.5696560731388765,345
vague,4.3922507618633,303
vales,4.278841967784066,265
valet,4.203744013931215,216
valid,4.259033521985198,230
valor,4.250108837614279,229
value,4.320200261210275,284
valve,4.454505877231171,304
vamps,4.2616456247279055,186
vanes,4.294514584240313,289
vaped,4.262734000870701,219
vapes,4.294732259468873,262
vapid,4.29952111449717,251
vapor,4.225511536787113,201
vases,4.500435350457118,356
vasts,4.4590770570309095,292
vault,4.292773182411842,253
vaunt,4.315629081410536,257
veeps,4.464083587287766,311
veers,4.483239007400957,338
vegan,4.334349151066609,270
veils,4.3123639529821505,308
veins,4.352416195037005,341
velds,4.288637353069221,244
veldt,4.259033521985198,227
venal,4.264257727470614,256
vends,4.301262516325642,262
venom,4.2845015237265995,234
vents,4.275141488898563,252
venue,4.503482803656944,344
verbs,4.27818894209839,216
verge,4.427296473661297,273
verse,4.453852851545494,287
verve,4.594253373966042,335
vests,4.46538963865912,309
vetch,4.285589899869395,198
vexed,4.607531562908141,340
vexes,4.672181105790161,411
vials,4.3347845015237265,300
viand,4.292120156726164,279
vibes,4.38354375272094,314
vicar,4.310622551153679,253
viced,4.317370483239007,274
vices,4.381149325206792,331
video,4.315846756639094,269
views,4.4357858075750976,340
vigil,4.508489333913801,308
vigor,4.303003918154114,231
viler,4.280365694383979,255
villa,4.515672616456247,338
vines,4.3530692207226815,344
vinyl,4.380278624292555,275
viola,4.337178929037876,278
viols,4.305833696125381,270
viper,4.232041793643884,215
viral,4.3232477144101,270
vireo,4.3119286025250325,284
virus,4.386808881149325,313
visas,4.530909882455377,372
vised,4.350674793208533,290
vises,4.55811928602525,409
visit,4.5,334
visor,4.3123639529821505,264
vista,4.349804092294297,288
vital,4.287766652154985,257
vivas,4.597083151937309,401
vivid,4.688506747932085,389
vixen,4.478885502829778,331
vizor,4.418589464518938,274
vocal,4.26708750544188,225
vodka,4.36852416195037,257
vogue,4.415759686547671,307
voice,4.356769699608185,289
voids,4.345450587723117,278
